Participant_ID,Date_Of_Sleep,Minutes_Asleep
p16,2019-11-01,383
p16,2019-11-02,397
p16,2019-11-03,342
p16,2019-11-04,530
p16,2019-11-05,492
p16,2019-11-06,470
p16,2019-11-07,343
p16,2019-11-08,375
p16,2019-11-09,596
p16,2019-11-10,361
p16,2019-11-11,517
p16,2019-11-12,382
p16,2019-11-13,495
p16,2019-11-14,315
p16,2019-11-15,388
p16,2019-11-16,433
p16,2019-11-17,445
p16,2019-11-18,463
p16,2019-11-19,355
p16,2019-11-20,404
p16,2019-11-21,372
p16,2019-11-22,494
p16,2019-11-23,413
p16,2019-11-24,410
p16,2019-11-25,400
p16,2019-11-26,446
p16,2019-11-27,232
p16,2019-11-28,367
p16,2019-11-29,533
p16,2019-11-30,506
p16,2019-12-01,413
p16,2019-12-02,405
p16,2019-12-03,403
p16,2019-12-04,473
p16,2019-12-05,404
p16,2019-12-06,384
p16,2019-12-07,390
p16,2019-12-08,399
p16,2019-12-09,167
p16,2019-12-10,483
p16,2019-12-11,466
p16,2019-12-12,478
p16,2019-12-13,401
p16,2019-12-14,527
p16,2019-12-15,460
p16,2019-12-17,696
p16,2019-12-18,389
p16,2019-12-19,321
p16,2019-12-20,326
p16,2019-12-21,505
p16,2019-12-22,495
p16,2019-12-23,402
p16,2019-12-24,362
p16,2019-12-25,504
p16,2019-12-26,475
p16,2019-12-27,357
p16,2019-12-28,443
p16,2019-12-29,391
p16,2019-12-30,291
p16,2019-12-31,476
p16,2020-01-01,458
p16,2020-01-02,233
p16,2020-01-03,455
p16,2020-01-04,403
p16,2020-01-05,343
p16,2020-01-06,366
p16,2020-01-07,334
p16,2020-01-08,369
p16,2020-01-09,373
p16,2020-01-10,479
p16,2020-01-11,299
p16,2020-01-12,473
p16,2020-01-13,389
p16,2020-01-14,430
p16,2020-01-15,372
p16,2020-01-16,358
p16,2020-01-17,443
p16,2020-01-18,307
p16,2020-01-19,363
p16,2020-01-20,378
p16,2020-01-21,279
p16,2020-01-22,462
p16,2020-01-23,329
p16,2020-01-24,477
p16,2020-01-25,370
p16,2020-01-26,383
p16,2020-01-27,411
p16,2020-01-28,307
p16,2020-01-29,371
p16,2020-01-30,361
p16,2020-01-31,453
p16,2020-02-01,388
p16,2020-02-02,376
p16,2020-02-03,443
p16,2020-02-04,393
p16,2020-02-05,348
p16,2020-02-06,386
p16,2020-02-07,433
p16,2020-02-08,491
p16,2020-02-09,374
p16,2020-02-11,733
p16,2020-02-12,349
p16,2020-02-13,348
p16,2020-02-14,438
p16,2020-02-15,355
p16,2020-02-16,294
p16,2020-02-17,458
p16,2020-02-18,285
p16,2020-02-19,466
p16,2020-02-20,398
p16,2020-02-21,345
p16,2020-02-22,395
p16,2020-02-23,396
p16,2020-02-24,405
p16,2020-02-25,264
p16,2020-02-26,477
p16,2020-02-27,320
p16,2020-02-28,378
p16,2020-02-29,400
p16,2020-03-02,476
p16,2020-03-03,433
p16,2020-03-05,397
p16,2020-03-06,522
p16,2020-03-07,129
p16,2020-03-08,404
p16,2020-03-08,223
p16,2020-03-09,238
p16,2020-03-10,244
p16,2020-03-11,367
p16,2020-03-12,289
p16,2020-03-13,549
p16,2020-03-15,574
p16,2020-03-16,491
p16,2020-03-17,314
p16,2020-03-18,519
p16,2020-03-19,408
p16,2020-03-20,496
p16,2020-03-21,348
p16,2020-03-22,496
p16,2020-03-23,398
p16,2020-03-24,474
p16,2020-03-25,491
p16,2020-03-26,294
p16,2020-03-27,469
p16,2020-03-28,419
p16,2020-03-29,442
p16,2020-03-30,485
p16,2020-03-31,385
