Participant_ID,Dates,Calories
p08,2019-11-11,952
p08,2019-11-12,1848
p08,2019-11-13,254
p08,2019-11-14,1159
p08,2019-11-15,1184
p08,2019-11-16,487
p08,2019-11-17,1340
p08,2019-11-18,780
p08,2019-11-19,844
p08,2019-11-20,1005
p08,2019-11-21,874
p08,2019-11-22,842
p08,2019-11-23,1085
p08,2019-11-24,1103
p08,2019-11-25,938
p08,2019-11-26,1001
p08,2019-11-27,471
p08,2019-11-28,1447
p08,2019-11-29,832
p08,2019-11-30,1418
p08,2019-12-01,2001
p08,2019-12-02,1401
p08,2019-12-03,1189
p08,2019-12-04,1269
p08,2019-12-05,530
p08,2019-12-06,969
p08,2019-12-07,712
p08,2019-12-08,2066
p08,2019-12-09,301
p08,2019-12-10,1032
p08,2019-12-11,1218
p08,2019-12-12,640
p08,2019-12-17,897
p08,2019-12-18,719
p08,2019-12-19,1110
p08,2019-12-20,138
p08,2019-12-21,1818
p08,2019-12-22,765
p08,2019-12-23,1317
p08,2019-12-24,112
p08,2019-12-26,571
p08,2019-12-27,930
p08,2019-12-29,1011
p08,2019-12-30,750
p08,2019-12-31,664
p08,2020-01-01,1561
p08,2020-01-02,854
p08,2020-01-03,152
p08,2020-01-04,1647
p08,2020-01-05,822
p08,2020-01-06,677
p08,2020-01-07,849
p08,2020-01-08,819
p08,2020-01-09,796
p08,2020-01-10,1675
p08,2020-01-11,420
p08,2020-01-18,695
p08,2020-01-19,572
p08,2020-01-21,1563
p08,2020-01-23,610
p08,2020-01-26,734
p08,2020-01-27,177
p08,2020-01-29,858
p08,2020-01-31,776
p08,2020-02-01,938
p08,2020-02-02,994
p08,2020-02-03,1323
p08,2020-02-04,1126
p08,2020-02-05,228
p08,2020-02-06,1246
p08,2020-02-07,1622
p08,2020-02-08,1432
p08,2020-02-09,2376
p08,2020-02-10,830
p08,2020-02-11,824
p08,2020-02-12,1266
p08,2020-02-13,584
p08,2020-02-14,1148
p08,2020-02-15,868
p08,2020-02-16,1306
p08,2020-02-17,1254
p08,2020-02-18,963
p08,2020-02-20,841
p08,2020-02-21,1967
p08,2020-02-23,2432
p08,2020-02-24,809
p08,2020-02-25,1921
p08,2020-02-26,996
p08,2020-02-27,1241
p08,2020-02-28,1571
p08,2020-02-29,762
p08,2020-03-01,1191
p08,2020-03-02,569
p08,2020-03-03,664
p08,2020-03-04,892
p08,2020-03-05,833
p08,2020-03-06,584
p08,2020-03-07,1062
p08,2020-03-08,2699
p08,2020-03-09,372
p08,2020-03-10,968
p08,2020-03-11,179
p08,2020-03-12,1053
p08,2020-03-13,841
p08,2020-03-14,867
p08,2020-03-15,1248
p08,2020-03-16,675
p08,2020-03-17,1127
p08,2020-03-18,797
p08,2020-03-19,1176
p08,2020-03-20,819
p08,2020-03-21,1808
p08,2020-03-22,1147
p08,2020-03-23,340
p08,2020-03-24,1253
p08,2020-03-25,1413
p08,2020-03-26,899
p08,2020-03-27,1486
p08,2020-03-28,1619
p08,2020-03-29,1391
p08,2020-03-30,1669
p08,2020-03-31,1230
