datetime,hour,day,month,predictions,Participant_ID
2020-04-01,0,1,4,312.0,p07
2020-04-02,0,2,4,330.0,p07
2020-04-03,0,3,4,249.0,p07
2020-04-04,0,4,4,197.0,p07
2020-04-05,0,5,4,241.0,p07
2020-04-06,0,6,4,217.0,p07
2020-04-07,0,7,4,238.0,p07
2020-04-08,0,8,4,289.0,p07
2020-04-09,0,9,4,122.0,p07
2020-04-10,0,10,4,43.0,p07
2020-04-11,0,11,4,57.0,p07
2020-04-12,0,12,4,141.0,p07
2020-04-13,0,13,4,116.0,p07
2020-04-14,0,14,4,126.0,p07
2020-04-15,0,15,4,76.0,p07
2020-04-16,0,16,4,10.0,p07
2020-04-17,0,17,4,180.0,p07
2020-04-18,0,0,0,0.0,p07
2020-04-19,0,19,4,206.0,p07
2020-04-20,0,20,4,178.0,p07
2020-04-21,0,21,4,185.0,p07
2020-04-22,0,22,4,194.0,p07
2020-04-23,0,23,4,118.0,p07
2020-04-24,0,24,4,119.0,p07
2020-04-25,0,25,4,159.0,p07
2020-04-26,0,26,4,247.0,p07
2020-04-27,0,27,4,35.0,p07
2020-04-28,0,28,4,95.0,p07
2020-04-29,0,29,4,87.0,p07
2020-04-30,0,30,4,249.0,p07
2020-05-01,0,1,5,312.0,p07
2020-05-02,0,2,5,330.0,p07
2020-05-03,0,3,5,249.0,p07
2020-05-04,0,4,5,197.0,p07
2020-05-05,0,5,5,241.0,p07
2020-05-06,0,6,5,217.0,p07
2020-05-07,0,7,5,238.0,p07
2020-05-08,0,8,5,289.0,p07
2020-05-09,0,9,5,122.0,p07
2020-05-10,0,10,5,43.0,p07
2020-05-11,0,11,5,57.0,p07
2020-05-12,0,12,5,141.0,p07
2020-05-13,0,13,5,116.0,p07
2020-05-14,0,14,5,126.0,p07
2020-05-15,0,15,5,76.0,p07
2020-05-16,0,16,5,10.0,p07
2020-05-17,0,17,5,180.0,p07
2020-05-18,0,0,0,0.0,p07
2020-05-19,0,19,5,206.0,p07
2020-05-20,0,20,5,178.0,p07
2020-05-21,0,21,5,185.0,p07
2020-05-22,0,22,5,194.0,p07
2020-05-23,0,23,5,118.0,p07
2020-05-24,0,24,5,119.0,p07
2020-05-25,0,25,5,159.0,p07
2020-05-26,0,26,5,247.0,p07
2020-05-27,0,27,5,35.0,p07
2020-05-28,0,28,5,95.0,p07
2020-05-29,0,29,5,87.0,p07
2020-05-30,0,30,5,249.0,p07
2020-05-31,0,31,5,64.0,p07
2020-06-01,0,1,6,312.0,p07
2020-06-02,0,2,6,330.0,p07
2020-06-03,0,3,6,249.0,p07
2020-06-04,0,4,6,197.0,p07
2020-06-05,0,5,6,241.0,p07
2020-06-06,0,6,6,217.0,p07
2020-06-07,0,7,6,238.0,p07
2020-06-08,0,8,6,289.0,p07
2020-06-09,0,9,6,122.0,p07
2020-06-10,0,10,6,43.0,p07
2020-06-11,0,11,6,57.0,p07
2020-06-12,0,12,6,141.0,p07
2020-06-13,0,13,6,116.0,p07
2020-06-14,0,14,6,126.0,p07
2020-06-15,0,15,6,76.0,p07
2020-06-16,0,16,6,10.0,p07
2020-06-17,0,17,6,180.0,p07
2020-06-18,0,0,0,0.0,p07
2020-06-19,0,19,6,206.0,p07
2020-06-20,0,20,6,178.0,p07
2020-06-21,0,21,6,185.0,p07
2020-06-22,0,22,6,194.0,p07
2020-06-23,0,23,6,118.0,p07
2020-06-24,0,24,6,119.0,p07
2020-06-25,0,25,6,159.0,p07
2020-06-26,0,26,6,247.0,p07
2020-06-27,0,27,6,35.0,p07
2020-06-28,0,28,6,95.0,p07
2020-06-29,0,29,6,87.0,p07
2020-06-30,0,30,6,249.0,p07
2020-07-01,0,1,7,312.0,p07
2020-07-02,0,2,7,330.0,p07
2020-07-03,0,3,7,249.0,p07
2020-07-04,0,4,7,197.0,p07
2020-07-05,0,5,7,241.0,p07
2020-07-06,0,6,7,217.0,p07
2020-07-07,0,7,7,238.0,p07
2020-07-08,0,8,7,289.0,p07
2020-07-09,0,9,7,122.0,p07
2020-07-10,0,10,7,43.0,p07
2020-07-11,0,11,7,57.0,p07
