Participant_ID,Dates,Calories
p12,2019-11-07,45
p12,2019-11-09,356
p12,2019-11-15,162
p12,2019-11-16,254
p12,2019-11-17,611
p12,2019-11-18,471
p12,2019-11-22,350
p12,2019-11-24,159
p12,2019-11-25,619
p12,2019-11-27,370
p12,2019-11-29,454
p12,2019-12-02,12
p12,2019-12-04,116
p12,2019-12-06,598
p12,2019-12-07,423
p12,2019-12-08,199
p12,2019-12-09,260
p12,2019-12-10,271
p12,2019-12-11,167
p12,2019-12-12,428
p12,2019-12-14,156
p12,2019-12-17,520
p12,2019-12-20,362
p12,2019-12-21,101
p12,2020-01-10,446
p12,2020-01-11,301
p12,2020-01-12,751
p12,2020-01-13,294
p12,2020-01-15,112
p12,2020-01-16,373
p12,2020-01-17,397
p12,2020-01-18,1323
p12,2020-01-19,1123
p12,2020-01-23,116
p12,2020-01-25,1369
p12,2020-01-26,426
p12,2020-01-27,496
p12,2020-01-28,223
p12,2020-01-29,701
p12,2020-01-31,192
p12,2020-02-01,480
p12,2020-02-02,218
p12,2020-02-03,182
p12,2020-02-04,197
p12,2020-02-05,405
p12,2020-02-07,496
p12,2020-02-08,602
p12,2020-02-10,364
p12,2020-02-11,376
p12,2020-02-12,363
p12,2020-02-18,796
p12,2020-02-19,392
p12,2020-02-22,872
p12,2020-02-23,838
p12,2020-02-25,306
